Any,Trimestre,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Lloguer_mitja,Preu,,,,,,
2017,1,9,Sant Andreu,63,Navas,Lloguer mitjà mensual (Euros/mes),716.78,,,,,,
2017,1,10,Sant Martí,64,el Camp de l'Arpa del Clot,Lloguer mitjà mensual (Euros/mes),756.57,,,,,,
2017,1,10,Sant Martí,65,el Clot,Lloguer mitjà mensual (Euros/mes),774.97,,,,,,
2017,1,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Lloguer mitjà mensual (Euros/mes),850.73,,,,,,
2017,1,10,Sant Martí,67,la Vila Olímpica del Poblenou,Lloguer mitjà mensual (Euros/mes),1108.37,,,,,,
2017,1,10,Sant Martí,68,el Poblenou,Lloguer mitjà mensual (Euros/mes),868.9,,,,,,
2017,1,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Lloguer mitjà mensual (Euros/mes),1148.2,,,,,,
2017,1,10,Sant Martí,70,el Besòs i el Maresme,Lloguer mitjà mensual (Euros/mes),588.9,,,,,,
2017,1,10,Sant Martí,71,Provençals del Poblenou,Lloguer mitjà mensual (Euros/mes),999.62,,,,,,
2017,1,10,Sant Martí,72,Sant Martí de Provençals,Lloguer mitjà mensual (Euros/mes),742.06,,,,,,
2017,1,10,Sant Martí,73,la Verneda i la Pau,Lloguer mitjà mensual (Euros/mes),677.91,,,,,,
2017,2,1,Ciutat Vella,1,el Raval,Lloguer mitjà mensual (Euros/mes),714.29,,,,,,
2017,2,1,Ciutat Vella,2,el Barri Gòtic,Lloguer mitjà mensual (Euros/mes),968.16,,,,,,
2017,2,1,Ciutat Vella,3,la Barceloneta,Lloguer mitjà mensual (Euros/mes),738.25,,,,,,
2017,2,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Lloguer mitjà mensual (Euros/mes),930.13,,,,,,
2017,2,2,Eixample,5,el Fort Pienc,Lloguer mitjà mensual (Euros/mes),884.99,,,,,,
2017,2,2,Eixample,6,la Sagrada Família,Lloguer mitjà mensual (Euros/mes),867.97,,,,,,
2017,2,2,Eixample,7,la Dreta de l'Eixample,Lloguer mitjà mensual (Euros/mes),1218.18,,,,,,
2017,2,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),1044.28,,,,,,
2017,2,2,Eixample,9,la Nova Esquerra de l'Eixample,Lloguer mitjà mensual (Euros/mes),949.96,,,,,,
2017,2,2,Eixample,10,Sant Antoni,Lloguer mitjà mensual (Euros/mes),887.78,,,,,,
2017,2,3,Sants-Montjuïc,11,el Poble Sec,Lloguer mitjà mensual (Euros/mes),756.8,,,,,,
2017,2,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,2,3,Sants-Montjuïc,13,la Marina de Port,Lloguer mitjà mensual (Euros/mes),634.28,,,,,,
2017,2,3,Sants-Montjuïc,14,la Font de la Guatlla,Lloguer mitjà mensual (Euros/mes),785.02,,,,,,
2017,2,3,Sants-Montjuïc,15,Hostafrancs,Lloguer mitjà mensual (Euros/mes),749.61,,,,,,
2017,2,3,Sants-Montjuïc,16,la Bordeta,Lloguer mitjà mensual (Euros/mes),760.98,,,,,,
2017,2,3,Sants-Montjuïc,17,Sants - Badal,Lloguer mitjà mensual (Euros/mes),766.05,,,,,,
2017,2,3,Sants-Montjuïc,18,Sants,Lloguer mitjà mensual (Euros/mes),780.27,,,,,,
2017,2,4,Les Corts,19,les Corts,Lloguer mitjà mensual (Euros/mes),1006.84,,,,,,
2017,2,4,Les Corts,20,la Maternitat i Sant Ramon,Lloguer mitjà mensual (Euros/mes),882.05,,,,,,
2017,2,4,Les Corts,21,Pedralbes,Lloguer mitjà mensual (Euros/mes),1666.63,,,,,,
2017,2,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Lloguer mitjà mensual (Euros/mes),1101.67,,,,,,
2017,2,5,Sarrià-Sant Gervasi,23,Sarrià,Lloguer mitjà mensual (Euros/mes),1423.86,,,,,,
2017,2,5,Sarrià-Sant Gervasi,24,les Tres Torres,Lloguer mitjà mensual (Euros/mes),1646.76,,,,,,
2017,2,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Lloguer mitjà mensual (Euros/mes),1236.21,,,,,,
2017,2,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Lloguer mitjà mensual (Euros/mes),1287.23,,,,,,
2017,2,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Lloguer mitjà mensual (Euros/mes),902.42,,,,,,
2017,2,6,Gràcia,28,Vallcarca i els Penitents,Lloguer mitjà mensual (Euros/mes),917.84,,,,,,
2017,2,6,Gràcia,29,el Coll,Lloguer mitjà mensual (Euros/mes),701.29,,,,,,
2017,2,6,Gràcia,30,la Salut,Lloguer mitjà mensual (Euros/mes),855.7,,,,,,
2017,2,6,Gràcia,31,la Vila de Gràcia,Lloguer mitjà mensual (Euros/mes),852.57,,,,,,
2017,2,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Lloguer mitjà mensual (Euros/mes),872.41,,,,,,
2017,2,7,Horta-Guinardó,33,el Baix Guinardó,Lloguer mitjà mensual (Euros/mes),756.13,,,,,,
2017,2,7,Horta-Guinardó,34,Can Baró,Lloguer mitjà mensual (Euros/mes),710.18,,,,,,
2017,2,7,Horta-Guinardó,35,el Guinardó,Lloguer mitjà mensual (Euros/mes),722.28,,,,,,
2017,2,7,Horta-Guinardó,36,la Font d'en Fargues,Lloguer mitjà mensual (Euros/mes),721.47,,,,,,
2017,2,7,Horta-Guinardó,37,el Carmel,Lloguer mitjà mensual (Euros/mes),597.58,,,,,,
2017,2,7,Horta-Guinardó,38,la Teixonera,Lloguer mitjà mensual (Euros/mes),671.85,,,,,,
2017,2,7,Horta-Guinardó,39,Sant Genís dels Agudells,Lloguer mitjà mensual (Euros/mes),680.8,,,,,,
2017,2,7,Horta-Guinardó,40,Montbau,Lloguer mitjà mensual (Euros/mes),677.09,,,,,,
2017,2,7,Horta-Guinardó,41,la Vall d'Hebron,Lloguer mitjà mensual (Euros/mes),819.11,,,,,,
2017,2,7,Horta-Guinardó,42,la Clota,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,2,7,Horta-Guinardó,43,Horta,Lloguer mitjà mensual (Euros/mes),708.69,,,,,,
2017,2,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Lloguer mitjà mensual (Euros/mes),699.81,,,,,,
2017,2,8,Nou Barris,45,Porta,Lloguer mitjà mensual (Euros/mes),640.95,,,,,,
2017,2,8,Nou Barris,46,el Turó de la Peira,Lloguer mitjà mensual (Euros/mes),600.84,,,,,,
2017,2,8,Nou Barris,47,Can Peguera,Lloguer mitjà mensual (Euros/mes),407.22,,,,,,
2017,2,8,Nou Barris,48,la Guineueta,Lloguer mitjà mensual (Euros/mes),632.43,,,,,,
2017,2,8,Nou Barris,49,Canyelles,Lloguer mitjà mensual (Euros/mes),677.5,,,,,,
2017,2,8,Nou Barris,50,les Roquetes,Lloguer mitjà mensual (Euros/mes),505.97,,,,,,
2017,2,8,Nou Barris,51,Verdun,Lloguer mitjà mensual (Euros/mes),579.67,,,,,,
2017,2,8,Nou Barris,52,la Prosperitat,Lloguer mitjà mensual (Euros/mes),617.61,,,,,,
2017,2,8,Nou Barris,53,la Trinitat Nova,Lloguer mitjà mensual (Euros/mes),533.3,,,,,,
2017,2,8,Nou Barris,54,Torre Baró,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,2,8,Nou Barris,55,Ciutat Meridiana,Lloguer mitjà mensual (Euros/mes),436.17,,,,,,
2017,2,8,Nou Barris,56,Vallbona,Lloguer mitjà mensual (Euros/mes),302.52,,,,,,
2017,2,9,Sant Andreu,57,la Trinitat Vella,Lloguer mitjà mensual (Euros/mes),434.91,,,,,,
2017,2,9,Sant Andreu,58,Baró de Viver,Lloguer mitjà mensual (Euros/mes),NA,,,,,,
2017,2,9,Sant Andreu,59,el Bon Pastor,Lloguer mitjà mensual (Euros/mes),647.69,,,,,,
